N ,01-A (mass number),01-Z (atomic number),01-q (ion charge),01-TKE [MeV],01-Energy Loss (MeV),01-Time from Target [ns],01-Momentum [GeV/c],01-Brho [T*m],02-A (mass number),02-Z (atomic number),02-q (ion charge),02-TKE [MeV],02-Energy Loss (MeV),02-Time from Target [ns],02-Momentum [GeV/c],02-Brho [T*m],03-A (mass number),03-Z (atomic number),03-q (ion charge),03-TKE [MeV],03-Energy Loss (MeV),03-Time from Target [ns],03-Momentum [GeV/c],03-Brho [T*m],04-A (mass number),04-Z (atomic number),04-q (ion charge),04-TKE [MeV],04-Energy Loss (MeV),04-Time from Target [ns],04-Momentum [GeV/c],04-Brho [T*m]
1,1.860000e+02,7.200000e+01,7.000000e+01,1.258785e+04,0.000000e+00,7.398930e+02,6.722003e+01,3.203170e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.150043e+04,1.087416e+03,7.398930e+02,6.415362e+01,3.057049e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.036680e+04,1.133623e+03,7.398930e+02,6.081316e+01,2.897869e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.692596e+03,4.674184e+03,7.398930e+02,4.476786e+01,2.133278e+00
2,1.930000e+02,7.500000e+01,7.300000e+01,1.317512e+04,0.000000e+00,7.370026e+02,7.006437e+01,3.201501e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.203299e+04,1.142128e+03,7.370026e+02,6.685594e+01,3.054896e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.083011e+04,1.202872e+03,7.370026e+02,6.332357e+01,2.893489e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.850159e+03,4.979929e+03,7.370026e+02,4.622663e+01,2.112266e+00
3,1.930000e+02,7.500000e+01,7.300000e+01,1.314872e+04,0.000000e+00,7.375316e+02,6.999165e+01,3.198178e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.200505e+04,1.143666e+03,7.375316e+02,6.677577e+01,3.051232e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.079722e+04,1.207824e+03,7.375316e+02,6.322453e+01,2.888963e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.821867e+03,4.975328e+03,7.375316e+02,4.611293e+01,2.107071e+00
4,1.880000e+02,7.300000e+01,7.100000e+01,1.280251e+04,0.000000e+00,7.378969e+02,6.816228e+01,3.202322e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.168226e+04,1.120244e+03,7.378969e+02,6.501127e+01,3.054285e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.052648e+04,1.155774e+03,7.378969e+02,6.161295e+01,2.894629e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.788209e+03,4.738251e+03,7.378969e+02,4.538689e+01,2.132315e+00
5,1.900000e+02,7.400000e+01,7.200000e+01,1.301911e+04,0.000000e+00,7.358139e+02,6.910857e+01,3.201686e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.189210e+04,1.126998e+03,7.358139e+02,6.594813e+01,3.055268e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.073297e+04,1.159129e+03,7.358139e+02,6.255237e+01,2.897948e+00,1.900000e+02,7.400000e+01,7.200000e+01,5.913372e+03,4.819571e+03,7.358139e+02,4.612237e+01,2.136773e+00
6,1.910000e+02,7.400000e+01,7.200000e+01,1.297123e+04,0.000000e+00,7.389773e+02,6.915244e+01,3.203718e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.182933e+04,1.141895e+03,7.389773e+02,6.593612e+01,3.054711e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065043e+04,1.178896e+03,7.389773e+02,6.246391e+01,2.893850e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.782389e+03,4.868018e+03,7.389773e+02,4.571876e+01,2.118074e+00
7,1.890000e+02,7.300000e+01,7.100000e+01,1.274038e+04,0.000000e+00,7.411273e+02,6.816551e+01,3.202474e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.163171e+04,1.108658e+03,7.411273e+02,6.503307e+01,3.055309e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.048236e+04,1.149352e+03,7.411273e+02,6.163883e+01,2.895845e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.700727e+03,4.781607e+03,7.411273e+02,4.515504e+01,2.121423e+00
8,1.890000e+02,7.300000e+01,7.100000e+01,1.277494e+04,0.000000e+00,7.404401e+02,6.826114e+01,3.206967e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.167579e+04,1.099149e+03,7.404401e+02,6.516011e+01,3.061278e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.050439e+04,1.171394e+03,7.404401e+02,6.170544e+01,2.898974e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.718077e+03,4.786285e+03,7.404401e+02,4.522480e+01,2.124700e+00
9,1.890000e+02,7.300000e+01,7.100000e+01,1.271466e+04,0.000000e+00,7.418081e+02,6.809426e+01,3.199127e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.162892e+04,1.085733e+03,7.418081e+02,6.502501e+01,3.054931e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.047977e+04,1.149147e+03,7.418081e+02,6.163099e+01,2.895477e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.695284e+03,4.784460e+03,7.418081e+02,4.513314e+01,2.120393e+00
10,1.910000e+02,7.400000e+01,7.200000e+01,1.296181e+04,0.000000e+00,7.387861e+02,6.912643e+01,3.202513e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.183823e+04,1.123570e+03,7.387861e+02,6.596171e+01,3.055897e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.064952e+04,1.188702e+03,7.387861e+02,6.246118e+01,2.893723e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.787765e+03,4.861736e+03,7.387861e+02,4.574035e+01,2.119075e+00
11,1.860000e+02,7.200000e+01,7.000000e+01,1.257963e+04,0.000000e+00,7.400326e+02,6.719730e+01,3.202087e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.148940e+04,1.090224e+03,7.400326e+02,6.412185e+01,3.055535e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.034519e+04,1.144200e+03,7.400326e+02,6.074791e+01,2.894760e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.703211e+03,4.641960e+03,7.400326e+02,4.481025e+01,2.135299e+00
12,1.910000e+02,7.400000e+01,7.200000e+01,1.296687e+04,0.000000e+00,7.388621e+02,6.914040e+01,3.203160e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.185144e+04,1.115422e+03,7.388621e+02,6.599969e+01,3.057656e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065666e+04,1.194780e+03,7.388621e+02,6.248270e+01,2.894720e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.756577e+03,4.900055e+03,7.388621e+02,4.561497e+01,2.113266e+00
13,1.890000e+02,7.300000e+01,7.100000e+01,1.278990e+04,0.000000e+00,7.401354e+02,6.830251e+01,3.208910e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.169468e+04,1.095217e+03,7.401354e+02,6.521451e+01,3.063833e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.053669e+04,1.157991e+03,7.401354e+02,6.180299e+01,2.903557e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.790432e+03,4.746230e+03,7.401354e+02,4.551464e+01,2.138317e+00
